nome,tipo,uf,municipio,latitude,longitude,fonte,fonte_url
Accert (Brazil),ICT,,São Carlos,-22.007591247558594,-47.88185119628906,openalex,https://openalex.org/I4210115400
Aché (Brazil),ICT,SP,Guarulhos,-23.46278,-46.53333,openalex,https://openalex.org/I4210133980
Acquest (Brazil),ICT,,São Paulo,-23.553884506225586,-46.70832824707031,openalex,https://openalex.org/I4210134040
Adespec (Brazil),ICT,,São Paulo,-23.582244873046875,-46.642818450927734,openalex,https://openalex.org/I4210158230
Adiel Comercial (Brazil),ICT,,Ribeirão Preto,-21.175920486450195,-47.801883697509766,openalex,https://openalex.org/I4210130247
Administrative Council for Economic Defense,ICT,,Brasília,-15.742030143737793,-47.897499084472656,openalex,https://openalex.org/I4210120016
ADTS (Brazil),ICT,,São Paulo,-23.629859924316406,-46.70777893066406,openalex,https://openalex.org/I4210140294
Advance Soluções em Informática (Brazil),ICT,,São Paulo,-23.548782348632812,-46.632423400878906,openalex,https://openalex.org/I4210100809
Advocacia-Geral da União,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4405273078
Aeroalcool Tecnologia (Brazil),ICT,,Batatais,-20.548198699951172,-47.45729064941406,openalex,https://openalex.org/I4210121300
AES (Brazil),ICT,,Barueri,-23.50408935546875,-46.836036682128906,openalex,https://openalex.org/I4210160590
Agência Nacional de Energia Elétrica,ICT,,Brasília,-15.777947425842285,-47.872535705566406,openalex,https://openalex.org/I4210129361
Agência Nacional de Telecomunicações,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4405262834
Agência Nacional de Vigilância Sanitária,ICT,DF,Brasília,-15.77972,-47.92972,openalex,https://openalex.org/I4405271689
Agência Patrícia Galvão,ICT,,São Paulo,-23.558605194091797,-46.66001892089844,openalex,https://openalex.org/I4210098385
Agência Paulista de Tecnologia dos Agronegócios,ICT,,São Paulo,-23.648855209350586,-46.62715148925781,openalex,https://openalex.org/I4210096253
Agende Guarulhos,ICT,,Guarulhos,-23.44460105895996,-46.5069694519043,openalex,https://openalex.org/I4210121353
Agilent Technologies (Brazil),ICT,,Barueri,-23.50528907775879,-46.83808517456055,openalex,https://openalex.org/I4210129434
Agricef (Brazil),ICT,,Campinas,-22.832014083862305,-47.077659606933594,openalex,https://openalex.org/I4210087285
AgriOS (Brazil),ICT,,São Carlos,-22.008926391601562,-47.872352600097656,openalex,https://openalex.org/I4210116944
Agrisus Foundation – Sustainable Agriculture,ICT,,São Paulo,-23.561811447143555,-46.66889190673828,openalex,https://openalex.org/I4210159132
Agro Lab Plants (Brazil),ICT,,Araras,-22.347900390625,-47.39179611206055,openalex,https://openalex.org/I4210154482
AgroBio,ICT,,São Paulo,-23.5725154876709,-46.645362854003906,openalex,https://openalex.org/I4210133352
Agronomical Institute of Campinas,ICT,,Campinas,-22.892120361328125,-47.06478500366211,openalex,https://openalex.org/I4210125957
